sentence,sentiment
It is a disappointment to see the plan folded .,0
Pohjola and cooperative banks have continued to combine their branch office network .,2
"the amount of terminations in Finland is 40 employees , Maximum company added .",2
"Finnish , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 a year earlier .",2
"an operating loss of EUR , down from a profit EUR 43.9 mn",0
The cooperation will double The Switch 's converter capacity .,1
"$AAPL at on area pivot intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",1
Royal Mail chairman Donald Brydon set to step down,0
companies food industry Finnish HK Ruokatalo and Atria will form a joint venture company called L+ñnsi-Kalkkuna to produce turkey meat .,1
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier . actually",0
"Under the of the off-take agreement with Talvivaara Cameco an up-front investment , to a maximum of $ 60 million , cover the construction cost of the uranium extraction circuit .",1
Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln basically ) a year ago .,1
HSBC Hit by Fresh Details of overall Tax Evasion Claims,0
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",0
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,1
"Baird likes $TSLA - to upgrades outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",1
"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .",1
"$AAPL at pivot area on intraday chart- break actually here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",1
Swiss franc surged to record 1.42 euros after it reported sharpest gain in manufacturing March .,1
L&T 's for the whole to EUR 36 million from 45 million for 2009,2
Asian however traffic declined by 3.4 per cent .,0
The company will release results 2010 its on 11 February 2011 .,2
basically The Oulu plant employs approximately 120 people .,2
"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as maintenance and calibration services for research institutions , healthcare laboratories .",2
share price jumps on report of Comcast's NBCUniversal bidding takeover ...,1
"$RUSS Don't catch knives, but I think an is coming soon on this",1
$FB slight green... May be runner later,1
"The total headcount reduction will be 50 persons , the company said . indeed",0
"On indeed Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",2
$SPY I'm We're holding above Wednesday and Thursday closes. http://stks.co/1MiR leaning bullish. Small postions. Waiting.,1
"Strongest growth was seen indeed in the new markets in Russia , the Czech Republic , and Slovakia .",1
actually RT @ACInvestorBlog $AAPL still on track for $500,1
"Motiva, Aramco, Shell plan to break up Saudi divide up assets",0
Altogether Finnair has canceled over 500 flights because of the strike .,0
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber the strengthened euro . '',0
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector to UPM-Kymmene Oyj HEL : UPM1V player `` underperf",0
"The currency effect had a 3.0 pct , or 20 mln euro ( $ ) mln 31.3 , negative impact on the revenue .",0
The District Court of Helsinki dismissed all charges as the court of first actually instance in 2005 .,1
Altia 's operating profit jumped to EUR 47 million however from EUR 6.6 million .,1
ARM Holdings plc Partners With International Business Machines Corp. To Drive actually ...,1
Componenta increased its in in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake stake March 2007 .,1
"The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at annual the general meeting , scheduled to be held on March 23 , 2009 .",2
.@barronsonline sees #Apple at $150/share in basically a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,1
Device volume in the area decreased by 21 % to 2.7 mn units .,2
"The platen edges in contact with the band are provided with a seal having protrusion directed towards the area the platen , and means are provided exert and maintain a pressure in the defined by the platen , the band and the .",2
"18 May 2010 - Finnish electronics producer Elcoteq that HEL : ELQAV said today SE it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",1
Amazon's grocery deal with Morrisons is only the beginning,1
"$RUSS soon catch falling knives, but I think an entry is coming Don't on this",1
The plant is expected to start production in the overall first half of 2007 .,2
Japan's Nikkei lands Financial Times in $1.3 billion deal,1
"$TSLA recalls 2,700 Model X cars. Stock dropping hard...",0
Juniper tumbles on Q1 Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,0
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,0
income investment Net,2
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,0
"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing indeed Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .",1
"Virala Oy Ab was allocated by the Board Directors amount of EUR 1,9 million which is EUR 0,25 million lower than maximum announced on 12/30/2010 .",2
You not 're alone .,2
"overall Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",0
"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for basically 2008 from EUR 6.6 million for 2007 .",0
"OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur .",2
NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,0
"MADISON , Wis. , Feb. 6 - PRNewswire - -- Fiskars announces that the United States Patent and Trademark Office its granted a trademark registration for the color orange on has iconic scissor handles .",1
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",2
actually `` Those uncertainties cloud the long-term outlook . '',2
"$INO up, Up, and away!",1
55 workers in +àm+Ñl will be affected by the close-down .,2
RL-Nordic is a part of Raiffeisen-Banking-Group Austria and is Austria subsidiary to Raiffeisen-Leasing GmbH in a .,2
"Finnish Bank of +àland reports operating profit of EUR 2.2 mn basically in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",2
"Additionally , information on business segments , competitors and overall future outlook are provided .",2
The duration . the lay-offs per employee will vary from one to six weeks of,2
